season,basin,storm,type,satellite,resolution,image
tc98,WPAC,26W.NONAME,ssmi,vapor,none,1919981218.2115.f13.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,1919981218.2115.f13.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,1919981218.2115.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,1919981218.2115.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981216.2140.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981217.0101.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981217.0843.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981217.1204.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,1919981218.2115.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981216.2140.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,1919981218.2115.f13.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981216.2140.f13.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981217.0101.f14.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981217.0843.f13.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981217.1204.f14.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981217.2128.f13.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981217.2250.f11.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981218.0048.f14.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981218.1151.f14.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981218.2115.f13.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981219.0036.f14.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981219.1000.f13.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981219.1138.f14.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981220.0004.f11.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981220.0023.f14.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981220.0947.f13.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981220.1107.f11.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,vapor,none,19981220.2351.f11.vapor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981216.2140.f13.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981217.0101.f14.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981217.0843.f13.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981217.1204.f14.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981217.2128.f13.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981217.2250.f11.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981218.0048.f14.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981218.1151.f14.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981218.2115.f13.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981219.0036.f14.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981216.2140.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981217.0101.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981217.0843.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981217.1204.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981217.2128.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981217.2250.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981218.0048.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981218.1151.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981218.2115.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981217.2128.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981217.2250.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981218.0048.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981218.1151.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981218.2115.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981219.0036.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981219.1000.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981219.1138.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981220.0004.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981220.0023.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981220.0947.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981220.1107.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir2,none,19981220.2351.ssmi.ir.bd.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981217.0101.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981217.0843.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981217.1204.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981217.2128.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981217.2250.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981218.0048.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981218.1151.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981218.2115.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981217.0101.f14.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981217.0843.f13.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981217.1204.f14.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981217.2128.f13.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981217.2250.f11.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981218.0048.f14.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981218.1151.f14.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981218.2115.f13.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981219.0036.f14.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981219.1000.f13.multisensor.x.NONAME.x.jpg
tc98,IO,06B.NONAME,tmi,precipIce,none,19981115.1140.trmm.precipIce.x.NONAME.x.jpg
tc98,IO,06B.NONAME,tmi,precipIce,none,19981116.0221.trmm.precipIce.x.NONAME.x.jpg
tc98,IO,06B.NONAME,tmi,precipIce,none,19981116.1026.trmm.precipIce.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981219.1000.f13.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981219.1138.f14.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981220.0004.f11.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981220.0023.f14.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981220.0947.f13.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981220.1107.f11.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,pct,none,19981220.2351.f11.pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981219.0036.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981219.1000.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981219.1138.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981220.0004.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981220.0023.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981220.0947.ssmi.vis.x.NONAME.x.jpg
tc98,IO,06B.NONAME,tmi,tmi_85v,none,19981115.1140.trmm.tmi_85v.x.NONAME.x.jpg
tc98,IO,06B.NONAME,tmi,tmi_85v,none,19981116.0221.trmm.tmi_85v.x.NONAME.x.jpg
tc98,IO,06B.NONAME,tmi,tmi_85v,none,19981116.1026.trmm.tmi_85v.x.NONAME.x.jpg
tc98,IO,06B.NONAME,tmi,tmi_37v,none,19981115.1140.trmm.tmi_37v.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981219.0036.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981219.1000.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981219.1138.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981220.0004.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981220.0023.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981220.0947.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981220.1107.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsir,none,19981220.2351.ssmi.ir.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981219.1138.f14.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981220.0004.f11.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981220.0023.f14.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981220.0947.f13.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981220.1107.f11.multisensor.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,composite,none,19981220.2351.f11.multisensor.x.NONAME.x.jpg
tc98,IO,06B.NONAME,tmi,surfaceRain,none,19981115.1140.trmm.surfaceRain.x.NONAME.x.jpg
tc98,IO,06B.NONAME,tmi,surfaceRain,none,19981116.0221.trmm.surfaceRain.x.NONAME.x.jpg
tc98,IO,06B.NONAME,tmi,surfaceRain,none,19981116.1026.trmm.surfaceRain.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981220.1107.ssmi.vis.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,gmsvis,none,19981220.2351.ssmi.vis.x.NONAME.x.jpg
tc98,IO,06B.NONAME,tmi,tmi_37v,none,19981116.0221.trmm.tmi_37v.x.NONAME.x.jpg
tc98,IO,06B.NONAME,tmi,tmi_37v,none,19981116.1026.trmm.tmi_37v.x.NONAME.x.jpg
tc98,WPAC,07W.NONAME,ssmi,85h,2degreeticks,19980902.2114.f13.85h.x.NONAME.x.jpg
tc98,WPAC,07W.NONAME,ssmi,85h,2degreeticks,19980902.2314.f14.85h.x.NONAME.x.jpg
tc98,WPAC,07W.NONAME,ssmi,85h,2degreeticks,19980903.0816.f13.85h.x.NONAME.x.jpg
tc98,WPAC,07W.NONAME,ssmi,85h,2degreeticks,19980903.1017.f14.85h.x.NONAME.x.jpg
tc98,WPAC,07W.NONAME,ssmi,85h,2degreeticks,19980903.2101.f13.85h.x.NONAME.x.jpg
tc98,WPAC,07W.NONAME,ssmi,85h,2degreeticks,19980903.2302.f14.85h.x.NONAME.x.jpg
tc98,WPAC,07W.NONAME,ssmi,85h,2degreeticks,19980904.0804.f13.85h.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsvis,none,19981120.0919.g5.vis.irbdatnight.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsir2,none,19981120.0919.g5.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsir,none,19981120.0919.g5.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsir,none,19981121.0014.g5.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsir,none,19981121.0814.g5.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsir,none,19981122.0030.g5.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsir,none,19981122.2317.g5.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsir,none,19981123.0511.g5.ir.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,composite,none,19981120.0919.trmm.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,cldWater,none,19981120.0919.trmm.cldWater.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,cldWater,none,19981121.0014.trmm.cldWater.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,cldWater,none,19981121.0814.trmm.cldWater.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,cldWater,none,19981122.0030.trmm.cldWater.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,cldWater,none,19981122.2317.trmm.cldWater.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,cldWater,none,19981123.0511.trmm.cldWater.x.NONAME.x.jpg
tc98,WPAC,07W.NONAME,ssmi,85h,2degreeticks,19980904.1004.f14.85h.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsvis,none,19981121.0014.g5.vis.irbdatnight.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsvis,none,19981121.0814.g5.vis.irbdatnight.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsvis,none,19981122.0030.g5.vis.irbdatnight.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsvis,none,19981122.2317.g5.vis.irbdatnight.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsvis,none,19981123.0511.g5.vis.irbdatnight.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsir2,none,19981121.0014.g5.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsir2,none,19981121.0814.g5.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsir2,none,19981122.0030.g5.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsir2,none,19981122.2317.g5.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,gmsir2,none,19981123.0511.g5.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,composite,none,19981121.0014.trmm.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,composite,none,19981121.0814.trmm.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,composite,none,19981122.0030.trmm.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,composite,none,19981122.2317.trmm.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,composite,none,19981123.0511.trmm.multisensor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,85pct,none,19981120.0919.trmm.85pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,85pct,none,19981121.0014.trmm.85pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,rain,2degreeticks,1919981218.2115.f13.rain.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,1919981218.2115.f13.h85.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,1919981121.1237.f11.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_85v,none,19981120.0919.trmm.tmi_85v.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_85v,none,19981121.0014.trmm.tmi_85v.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_37v,none,19981120.0919.trmm.tmi_37v.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,85pct,none,19981121.0814.trmm.85pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,85pct,none,19981122.0030.trmm.85pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,85pct,none,19981122.2317.trmm.85pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,rain,2degreeticks,19981216.2140.f13.rain.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,rain,2degreeticks,19981217.0101.f14.rain.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,rain,2degreeticks,19981217.0843.f13.rain.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,rain,2degreeticks,19981217.1204.f14.rain.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,rain,2degreeticks,19981217.2128.f13.rain.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,rain,2degreeticks,19981217.2250.f11.rain.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981216.2140.f13.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981217.0101.f14.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981217.0843.f13.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981217.1204.f14.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981217.2128.f13.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981217.2250.f11.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981218.0048.f14.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981218.1151.f14.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981218.2115.f13.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981219.0036.f14.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981219.1000.f13.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981219.1138.f14.h85.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,1919981121.1407.f14.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,1919981121.2326.f13.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,1919981122.0121.f11.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,1919981122.0252.f14.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,1919981122.1224.f11.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,1919981123.0108.f11.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,1919981123.0239.f14.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,1919981123.1210.f11.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,19981119.0202.f11.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,19981119.0329.f14.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,19981119.1106.f13.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,19981119.1305.f11.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,19981119.1432.f14.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,19981119.2351.f13.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,19981120.0148.f11.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,vapor,none,19981120.0317.f14.vapor.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_85v,none,19981121.0814.trmm.tmi_85v.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_85v,none,19981122.0030.trmm.tmi_85v.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_85v,none,19981122.2317.trmm.tmi_85v.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_85v,none,19981123.0511.trmm.tmi_85v.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_37v,none,19981121.0014.trmm.tmi_37v.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_37v,none,19981121.0814.trmm.tmi_37v.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_37v,none,19981122.0030.trmm.tmi_37v.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_37v,none,19981122.2317.trmm.tmi_37v.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,tmi_37v,none,19981123.0511.trmm.tmi_37v.x.NONAME.x.jpg
tc98,IO,07B.NONAME,tmi,85pct,none,19981123.0511.trmm.85pct.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,rain,2degreeticks,19981218.0048.f14.rain.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,rain,2degreeticks,19981218.1151.f14.rain.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,rain,2degreeticks,19981218.2115.f13.rain.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981220.0004.f11.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981220.0023.f14.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981220.0947.f13.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981220.1107.f11.h85.x.NONAME.x.jpg
tc98,WPAC,26W.NONAME,ssmi,85h,2degreeticks,19981220.2351.f11.h85.x.NONAME.x.jpg
