season,basin,storm,type,satellite,resolution,image
tc97,WPAC,25.HANK,ssmi,vapor,none,19971003.0301.f10.x.vapor.HANK.x.jpg
tc97,WPAC,25.HANK,ssmi,vapor,none,19971003.1202.f14.x.vapor.HANK.x.jpg
tc97,WPAC,25.HANK,ssmi,vapor,none,19971003.1355.f10.x.vapor.HANK.x.jpg
tc97,WPAC,25.HANK,ssmi,vapor,none,19971004.0000.f11.x.vapor.HANK.x.jpg
tc97,WPAC,25.HANK,ssmi,vapor,none,19971004.0047.f14.x.vapor.HANK.x.jpg
tc97,WPAC,25.HANK,ssmi,vapor,none,19971004.1023.f13.x.vapor.HANK.x.jpg
tc97,WPAC,25.HANK,ssmi,vapor,none,19971004.1102.f11.x.vapor.HANK.x.jpg
tc97,WPAC,25.HANK,ssmi,vapor,none,19971004.1503.f10.x.vapor.HANK.x.jpg
tc97,WPAC,25.HANK,ssmi,vapor,none,19971004.2308.f13.x.vapor.HANK.x.jpg
tc97,WPAC,25.HANK,ssmi,vapor,none,19971004.2346.f11.x.vapor.HANK.x.jpg
tc97,WPAC,25.HANK,ssmi,vapor,none,19971005.0337.f10.x.vapor.HANK.x.jpg
tc97,WPAC,25.HANK,ssmi,vapor,none,19971005.2255.f13.x.vapor.HANK.x.jpg
tc97,WPAC,25.HANK,ssmi,vapor,none,19971005.2333.f11.x.vapor.HANK.x.jpg
tc97,WPAC,25.HANK,ssmi,vapor,none,19971006.0305.f10.x.vapor.HANK.x.jpg
tc97,WPAC,25.HANK,ssmi,vapor,none,19971006.0958.f13.x.vapor.HANK.x.jpg
tc97,WPAC,21.DAVID,ssmi,vapor,none,19970911.2051.f14.x.vapor.DAVID.x.jpg
tc97,WPAC,21.DAVID,ssmi,vapor,none,19970911.2311.f10.x.vapor.DAVID.x.jpg
tc97,WPAC,21.DAVID,ssmi,vapor,none,19970912.0623.f13.x.vapor.DAVID.x.jpg
tc97,WPAC,21.DAVID,ssmi,vapor,none,19970912.0731.f11.x.vapor.DAVID.x.jpg
