Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2018-08-13,JBU,1347,DCA,SJU,B,24,A,7,false,,2018-08-13T08:00,2018-08-13T08:00,2018-08-13T08:15,2018-08-13T08:24,2018-08-13T11:57,2018-08-13T11:50,2018-08-13T11:52,2018-08-13T11:56,Airbus A320,N519JB,,,,,,,123d05b4-0422-4260-8442-91b4eeb1775b,765155ec-70b3-4183-9cd3-10d1f5127405,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,1f1a1626-74d4-4ce1-b3db-9a365053202a,,dd390a1f-e92a-4411-ab72-04db16d42030
2018-08-20,JBU,1348,SJU,DCA,A,4,B,28,false,,2018-08-20T18:13,2018-08-20T18:04,2018-08-20T18:23,2018-08-20T18:23,2018-08-20T21:39,2018-08-20T21:55,2018-08-20T21:59,2018-08-20T22:07,Airbus A320,N535JB,,,,,,,2a24320d-3853-4e2a-ae7c-63cff5804b22,765155ec-70b3-4183-9cd3-10d1f5127405,1f1a1626-74d4-4ce1-b3db-9a365053202a,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,,dd390a1f-e92a-4411-ab72-04db16d42030
2019-05-25,AAL,4238,ORF,ORD,,,,,false,,2019-05-25T17:05,2019-05-25T17:05,,2019-05-25T17:16,2019-05-25T16:05,2019-05-25T16:05,2019-05-25T18:35,2019-05-25T18:45,Embraer 175,N253NN,,,,,,,90801b90-ae55-42de-9991-db771f9acd46,ae1fc6a5-c42d-4e70-ba63-d641d248d270,851ea82b-b482-4c2b-afeb-191a46058104,a5eff314-18e7-4c87-bd38-0131882f1b8d,,36728d5b-40cd-46ec-93ba-8822376b565d
2019-05-25,AAL,42,ORD,VCE,3,K19,,,false,,2019-05-25T19:40,2019-05-25T23:12,2019-05-25T19:58,2019-05-25T23:27,2019-05-26T11:35,2019-05-26T14:38,2019-05-26T11:40,2019-05-26T14:45,Boeing 787-8,N814AA,,,,,,,e6ab6000-44cb-498a-9e21-3f9b46d4c3fe,ae1fc6a5-c42d-4e70-ba63-d641d248d270,a5eff314-18e7-4c87-bd38-0131882f1b8d,e184c2ae-d608-40a5-9337-894f4fc8286f,,4f948d40-962a-4fdf-b1d9-424282d24f76
2019-06-07,AAL,235,FCO,JFK,3,E34,8,3,false,,2019-06-07T09:40,2019-06-07T09:38,2019-06-07T10:16,2019-06-07T10:20,2019-06-07T12:55,2019-06-07T12:58,2019-06-07T13:20,2019-06-07T13:09,Boeing 777-200 ER,N773AN,,,,,,,e34335b4-efb2-4e4c-be72-c8657a7196b5,ae1fc6a5-c42d-4e70-ba63-d641d248d270,c1ae74d8-8361-4e5e-95e3-86a49e98df2a,fc332185-4dde-4791-b449-0de5e83e47b9,,a0f171e1-86df-426a-8922-e460c0660ae6
2019-06-07,AAL,3736,JFK,ORF,8,32F,Main,A8,false,,2019-06-07T15:35,2019-06-07T15:28,2019-06-07T16:15,2019-06-07T15:51,2019-06-07T17:07,2019-06-07T16:58,2019-06-07T17:11,2019-06-07T17:05,Embraer RJ135,N848AE,,,,,,,c458fdf5-5c63-4dec-a509-64f5fce065f1,ae1fc6a5-c42d-4e70-ba63-d641d248d270,fc332185-4dde-4791-b449-0de5e83e47b9,851ea82b-b482-4c2b-afeb-191a46058104,,49a15aca-54a5-4c54-a7dc-6ac87a01b84e
2019-06-26,DAL,3401,ORF,LGA,Main,B19,C,C32,false,,2019-06-26T19:25,2019-06-26T19:27,2019-06-26T19:33,2019-06-26T20:29,2019-06-26T20:23,2019-06-26T21:32,2019-06-26T21:00,2019-06-26T21:56,Bombardier CRJ200,N8980A,,,,,,,4f2c7b28-10c5-4648-bf92-d16acc00798a,a8765091-d043-44b1-936c-d217bb519e56,851ea82b-b482-4c2b-afeb-191a46058104,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,758963aa-0757-419b-975d-20740a3ab5b8
2019-07-01,AAL,3970,LGA,ORF,B,C5,Main,A8,false,,2019-07-01T11:20,2019-07-01T11:12,2019-07-01T11:53,2019-07-01T11:35,2019-07-01T12:45,2019-07-01T12:22,2019-07-01T12:49,2019-07-01T12:24,Embraer RJ135,N836AE,,,,,,,fab2258a-a7d1-42f1-a24a-4d863c071c7f,ae1fc6a5-c42d-4e70-ba63-d641d248d270,dfeb8457-3376-49f8-b542-dbeb2ec9f719,851ea82b-b482-4c2b-afeb-191a46058104,,49a15aca-54a5-4c54-a7dc-6ac87a01b84e
2019-09-27,DAL,2220,IAD,SEA,Main,B76,B,5,false,,2019-09-27T17:03,2019-09-27T16:59,2019-09-27T17:19,2019-09-27T17:19,2019-09-27T20:07,2019-09-27T20:07,2019-09-27T20:15,2019-09-27T20:17,Airbus A319,N337NB,,,,,,,8c4f7065-4f45-433c-a884-2fecc1ffe734,a8765091-d043-44b1-936c-d217bb519e56,519696f5-bda6-457c-ae4c-dd1cb07e20de,b3f217fd-4bc7-4806-9efe-abe9446a74df,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2019-10-06,UAL,260,SEA,IAD,A,14,Main,D20,false,,2019-10-06T13:00,2019-10-06T12:49,2019-10-06T13:21,2019-10-06T13:08,2019-10-06T20:50,2019-10-06T20:28,2019-10-06T20:55,2019-10-06T20:33,Boeing 737-800,N76522,,,,,,,9a58a7d1-cdc6-4a9c-a097-382272d1db04,b57b4c86-4724-48f1-80be-d7de4036004a,b3f217fd-4bc7-4806-9efe-abe9446a74df,519696f5-bda6-457c-ae4c-dd1cb07e20de,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2020-03-27,DAL,5884,DCA,LGA,Main,,,,false,,2020-03-27T19:59,,,,,,2020-03-27T21:19,,,,F6VICN,,,,,,9a04ad6e-edd4-484e-bf40-04eadce9269b,a8765091-d043-44b1-936c-d217bb519e56,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,
2020-03-30,DAL,5896,LGA,DCA,,,Main,,false,,2020-03-30T14:30,,,,,,2020-03-30T16:00,,,,F6VICN,,,,,,848ea759-b419-45fb-851e-fa8c4fef5538,a8765091-d043-44b1-936c-d217bb519e56,dfeb8457-3376-49f8-b542-dbeb2ec9f719,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,,
2021-03-19,UAL,1439,IAD,DEN,Main,D32,Main,B36,false,,2021-03-19T10:40,2021-03-19T10:48,2021-03-19T10:50,2021-03-19T10:57:40,2021-03-19T12:35,2021-03-19T12:14,2021-03-19T12:45,2021-03-19T12:30,Boeing 737-800,N76519,LVENF0,35A,,,,,7859107c-4f3e-4089-8fcd-5dc53bbd43f0,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,d00b5728-0678-4689-b660-fe9e583203dc,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
